gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3058213	413.7922554	-0.38237641	0.134980481	-2.832827431	0.004613829	0.012460361
C3058221	6.723270504	3.116184801	0.909692498	3.42553644	0.000613587	0.00204424
C3058223	134.3602249	0.812164377	0.308400382	2.633473968	0.008451631	0.021299876
C3058291	92.94238489	-1.232897938	0.192130191	-6.416992215	1.39E-10	1.25E-09
C3058319	33.66026509	-1.52625653	0.378456862	-4.032841475	5.51E-05	0.000226291
C3058351	240.0833681	-0.342466904	0.149229267	-2.29490441	0.021738603	0.048188235
C3058375	224.4289058	0.911194271	0.306198189	2.975831676	0.002921952	0.008298343
C3058401	12.49776968	-1.649761765	0.58621964	-2.814238304	0.004889297	0.013130855
C3058407	79.67075011	-0.553183195	0.22818461	-2.424279159	0.015338809	0.035618415
C3058413	101.2313454	-0.59479619	0.22101336	-2.691222789	0.007119064	0.018340896
C3058445	26.01453438	-3.210632792	0.518827505	-6.18824708	6.08E-10	5.09E-09
C3058463	1012.116903	0.385323871	0.143531412	2.684596105	0.00726175	0.018668653
C3058541	8.240135901	2.960335479	0.724749328	4.08463363	4.41E-05	0.000185138
C3058565	4.925066907	2.165884558	0.89044079	2.432373476	0.015000231	0.034981218
C3058653	32.60369931	1.314078253	0.417095293	3.150546828	0.001629651	0.004911334
C3058741	12.99867849	-1.860224089	0.494875058	-3.758977263	0.000170609	0.00063952
C3058757	197.6895887	2.403009114	0.280126087	8.5783125	9.63E-18	1.75E-16
C3058773	17.05715153	1.327770124	0.444295584	2.988483731	0.002803654	0.007991928
C3058791	299.787032	0.337602493	0.136259293	2.47764747	0.013225174	0.031405143
C3058825	376.7339624	-0.809129782	0.126752173	-6.38355748	1.73E-10	1.54E-09
C3058827	175.5869741	-0.43735822	0.181383601	-2.41123353	0.015898665	0.036729597
C3058843	9.228177407	-1.649123273	0.625910352	-2.634759542	0.008419691	0.021235214
C3058849	650.0651587	0.801793399	0.197287095	4.064094508	4.82E-05	0.000200396
C3058955	2870.214887	2.154982026	0.213272064	10.1043802	5.28E-24	1.57E-22
C3058963	27.51230615	1.306412038	0.4836497	2.70115341	0.006909946	0.017881478
C3058987	8.571926963	-2.113251986	0.818035994	-2.583323964	0.009785339	0.024139074
C3058993	423.7803825	2.74571947	0.195824469	14.02132985	1.15E-44	1.38E-42
C3058999	172.3771193	-1.19813666	0.256527832	-4.670591297	3.00E-06	1.53E-05
C3059037	8.37761307	-3.227648802	0.807110175	-3.999018846	6.36E-05	0.000258243
