gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3052387	48.23108355	-1.522468763	0.269508849	-5.649049255	1.61E-08	7.86E-08
C3052447	87.49507995	0.733723341	0.209621015	3.500237519	0.000464844	0.001300009
C3052635	405.8647534	1.864355707	0.198353691	9.399148031	5.50E-21	6.91E-20
C3052653	3.390575216	-5.154942027	1.293390984	-3.985602257	6.73E-05	0.000213146
C3052701	295.2328002	0.475888005	0.171413073	2.776264352	0.005498748	0.0126837
C3052709	158.8638565	0.869913552	0.162168788	5.364247727	8.13E-08	3.66E-07
C3052877	14.42568685	1.310320413	0.551157758	2.377396296	0.017435345	0.035524154
C3052891	21.4632063	1.556389292	0.398068815	3.909849842	9.24E-05	0.000287072
C3052905	92.02449059	-0.8079916	0.218185462	-3.703232983	0.000212869	0.000627824
C3052929	79.88035954	1.840570539	0.224059488	8.214651196	2.13E-16	2.01E-15
C3052939	12.83202798	2.729550221	0.571370343	4.777199684	1.78E-06	6.93E-06
C3052987	27.24594489	-1.61031695	0.346468352	-4.647803881	3.35E-06	1.26E-05
C3053165	89.33506507	0.610693644	0.207818035	2.938597917	0.003297005	0.007945362
C3053177	718.566461	1.773202384	0.116540426	15.2153415	2.80E-52	1.62E-50
C3053201	14.9511592	-1.67532787	0.482573323	-3.471654549	0.000517261	0.001436347
C3053215	198.5377707	-1.237551247	0.174431456	-7.094771083	1.30E-12	9.22E-12
C3053241	30.0827352	-1.281238711	0.339476141	-3.774164241	0.000160545	0.000481747
C3053283	89.40295609	0.569102099	0.206888398	2.750768551	0.005945563	0.013608699
C3053307	8592.781107	-0.596393338	0.126659532	-4.708633688	2.49E-06	9.56E-06
C3053339	17.44278357	1.335908102	0.441145559	3.028270543	0.002459578	0.006079447
C3053345	211.0254026	-0.480234251	0.172581339	-2.782654568	0.005391618	0.012458266
C3053371	5004.541921	-0.551125392	0.115326838	-4.778812984	1.76E-06	6.88E-06
C3053417	13.65992498	-1.849047562	0.490486957	-3.769820047	0.000163365	0.000489273
C3053427	75.24456293	0.484370712	0.19912027	2.432553514	0.014992776	0.031084838
C3053471	977.7324126	0.304641267	0.125018487	2.436769751	0.014819112	0.030772112
C3053479	64.13475298	-0.988839226	0.238920979	-4.138771034	3.49E-05	0.000115517
C3053519	37.61466331	-0.834518955	0.327504893	-2.548111412	0.010830788	0.023287207
C3053591	439.8158833	0.276234794	0.11500708	2.401893808	0.016310443	0.033473604
C3053593	131.200451	1.70538667	0.171572739	9.939729846	2.80E-23	4.05E-22
C3053595	68.01502792	1.163580377	0.210939133	5.516190201	3.46E-08	1.63E-07
C3053615	21.20695917	1.219463972	0.412679635	2.954989459	0.003126797	0.00757757
C3053623	12.56278079	-2.366352532	0.576445988	-4.10507243	4.04E-05	0.000132145
C3053667	3063.629806	2.197307616	0.158379867	13.87365485	9.15E-44	3.71E-42
C3053701	115.5158136	-1.210422064	0.185760099	-6.516049826	7.22E-11	4.38E-10
C3053731	92.39927309	-1.053515456	0.191824281	-5.492086038	3.97E-08	1.86E-07
C3053757	75.45355756	2.087949235	0.239022321	8.735373454	2.43E-18	2.61E-17
C3053809	826.5131251	-0.408241913	0.12383185	-3.296744051	0.000978126	0.002601611
